Nombre, Peso 
Guitarra acústica, 2.7
Guitarra Acústica, 2.7
Guitarra Acústica, 2.7
Amplificador, 18
Amplificador, 18
Funda Guitarra, 0.5
Funda Guitarra, 0.5
Pedal, 0.7
Lead, 0.2
Lead, 0.2
Lead, 0.2
Tuner Pedal, 0.3
Cuerdas, 0.035
Cuerdas, 0.035
Strap, 0.1
Sintonizador, 0.05
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Puas, 0.35
Bajo, 11.512
Bajo, 11.512
Amplificador, 32
Amplificador, 32
Funda, 3.2
Funda, 3.2
Pedalera, 6.67
Lead, 0.2
Lead, 0.2
Lead, 0.2
Tuner Pedal, 0.17
Cuerdas, 0.035
Cuerdas, 0.035
Strap, 0.1
Sintonizador, 0.025
Enrollador-Cortador Cuerdas, 0.058
Shell Pack, 33
Snare Drum, 3.4
Extension Arm, 0.7
Hi-Hat, 4
Multi Angle Clamp, 0.43
Multi Angle Clamp, 0.43
Multi Angle Clamp, 0.43
Multi Angle Clamp, 0.43
Cymbal, 0.4
Cymbal, 0.4
Cymbal Arm, 0.4
Cymbal Arm, 0.4
Adjusttom Arm, 0.45
Adjusttom Arm, 0.45
Mounts, 9.5
Mic Kit, 0.28
Mic Kit, 0.28
Pedals, 3.7
Pedals, 3.7
Sticks, 54
In-Ear Monitors, 0.028
In-Ear Monitors, 0.028
Microphone Systems, 0.35
Microphone Systems, 0.35
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Rack Cases, 3.65
Power Conditioners, 5.9
Power Conditioners, 5.9
Power Conditioners, 5.9
Power Conditioners, 5.9
Power Conditioners, 5.9
Power Conditioners, 5.9
Power Conditioners, 5.9
Power Conditioners, 5.9
Rack Drawers, 9.5
Rack Drawers, 9.5
Rack Drawers, 9.5
Rack Drawers, 9.5
Rack Drawers, 9.5
Rack Drawers, 9.5
Rack Drawers, 9.5
Rack Drawers, 9.5
